,Algorithm,Run,Step,Mean Reward,Uncertainty,Distance,Collisions,RMSE
33,Noisy DRL,0,33,43.222695482123605,0.23012146727204363,23.54923196364339,0,0.032518839272298046
34,Noisy DRL,0,34,44.36100089561743,0.22643170216364136,23.748633423781847,0,0.03245610312933981
35,Noisy DRL,0,35,45.40504420145073,0.22304748338046898,23.25553991944105,0,0.032331735678666686
36,Noisy DRL,0,36,46.47644629043939,0.21957458260079368,22.533192981806486,0,0.03026818191929811
37,Noisy DRL,0,37,47.637552748143364,0.21581091838805522,21.961794432067162,0,0.03008125681855158
38,Noisy DRL,0,38,48.8039590490608,0.21186209524611807,21.00395209335651,0,0.029694009003714036
39,Noisy DRL,0,39,50.06743768181755,0.20772100952679146,20.638787443686493,0,0.028639256790720925
40,Noisy DRL,0,40,51.33936026727604,0.20359813231620555,20.709444727982774,0,0.027384049022044683
41,Noisy DRL,0,41,52.60399715727013,0.19949886981599518,20.945501879252074,0,0.025326885225031803
42,Noisy DRL,0,42,53.859422034444705,0.1954294673170709,21.150205097941964,0,0.023203428913530538
43,Noisy DRL,0,43,55.065423795503655,0.19152026760883656,21.34006306146432,0,0.02104862506302337
44,Noisy DRL,0,44,56.21841667270077,0.1877828938876997,21.599879594430437,0,0.019082242956423075
45,Noisy DRL,0,45,57.3564562105053,0.1840939912205197,21.590471947755628,0,0.018438311280145843
46,Noisy DRL,0,46,58.36632889800185,0.1808205349852515,22.01066860315891,0,0.017016811701855625
47,Noisy DRL,0,47,59.33034530120038,0.17769572007866258,21.835630390187823,0,0.015562576304075666
48,Noisy DRL,0,48,60.292541583241835,0.17457680659901378,21.644587351478055,0,0.014865902055485901
49,Noisy DRL,0,49,61.419396901649364,0.17092415704187286,21.495216528462763,0,0.013396589681855817
50,Noisy DRL,0,50,62.63136624539323,0.16699562660651396,21.065232443096665,0,0.01270267734445446
51,Noisy DRL,0,51,63.840103759961536,0.1630775710231236,20.47450454320868,0,0.012196792334247128
52,Noisy DRL,0,52,65.03221379854993,0.15921347065426883,19.774973811736096,0,0.01160527365946407
53,Noisy DRL,0,53,66.12678721974584,0.15566546082039415,19.160248259688665,0,0.010654812183547866
54,Noisy DRL,0,54,67.23528929913789,0.15207230186312182,18.58754334996513,0,0.009799680150205544
55,Noisy DRL,0,55,68.266638581198,0.1487292301812326,18.07064479731137,0,0.009060110198228648
56,Noisy DRL,0,56,69.3338933702777,0.14526977246758022,17.783281111551695,0,0.008870304232916789
57,Noisy DRL,0,57,70.51370535100867,0.14144546775876152,17.40997444345151,0,0.008740681628208917
58,Noisy DRL,0,58,71.57670611653766,0.13800035140961542,17.236507490974606,0,0.008506761155206684
59,Noisy DRL,0,59,72.59265604866513,0.1347073194733495,17.205987877606066,0,0.008338178352660524
60,Noisy DRL,0,60,73.42980504778411,0.13197535559583776,17.309589271810246,0,0.008289388095763994
61,Noisy DRL,0,61,74.14544853416712,0.12965563633868,17.73126425946486,0,0.008252601716481867
62,Noisy DRL,0,62,74.82860539785896,0.12744143017913237,17.809899922350883,0,0.00819250759510956
